  500; 0.020; 5479.169
 1500; 0.354; 2797.290
 2500; 1.029; 2672.321
 3500; 2.004; 2689.882
 4500; 3.300; 2700.290
  500; 0.020; 5438.031
 1500; 0.353; 2805.185
 2500; 1.032; 2665.349
 3500; 2.013; 2677.109
 4500; 3.310; 2691.932
  500; 0.022; 5075.950
 1500; 0.354; 2794.550
 2500; 1.035; 2656.050
 3500; 2.026; 2660.339
 4500; 3.331; 2674.553
  500; 0.021; 5254.583
 1500; 0.350; 2828.256
 2500; 1.036; 2654.850
 3500; 2.025; 2662.191
 4500; 3.330; 2675.650
  500; 0.021; 5187.702
 1500; 0.356; 2784.371
 2500; 1.035; 2657.002
 3500; 2.032; 2652.235
 4500; 3.342; 2666.364
  500; 0.021; 5203.910
 1500; 0.353; 2804.899
 2500; 1.036; 2653.413
 3500; 2.032; 2652.687
 4500; 3.346; 2663.120
  500; 0.020; 5522.058
 1500; 0.358; 2761.537
 2500; 1.039; 2646.658
 3500; 2.053; 2625.832
 4500; 3.371; 2643.190
  500; 0.020; 5502.170
 1500; 0.357; 2775.232
 2500; 1.040; 2643.364
 3500; 2.040; 2642.579
 4500; 3.354; 2656.576
  500; 0.021; 5331.763
 1500; 0.358; 2761.885
 2500; 1.050; 2619.357
 3500; 2.054; 2624.447
 4500; 3.370; 2643.843
  500; 0.020; 5463.144
 1500; 0.361; 2744.426
 2500; 1.055; 2607.465
 3500; 2.061; 2615.346
 4500; 3.384; 2633.220

